Source,Make,Model,year,price,mileage,location,listing_date,link_to_buyer,link_to_image
autotrader,Mazda,Mazda3,2010,4888,"216,693 KM",THORNHILL,2023-11-30,https://www.autotrader.ca/a/mazda/mazda3/thornhill/ontario/5_60577261_20200727174341421/?showcpo=ShowCpo&ncse=no&ursrc=boost_hl&orup=7_15_69896&pc=L1G%200C5&sprx=100,https://tdrpmimages.azureedge.net/photos/import/202311/2200/3023/6bab77f5-1a10-402f-917c-50f148caeb0d.jpg-180x135
autotrader,Mercedes-Benz,M,2007,4950,"267,736 KM",MISSISSAUGA,2023-11-30,https://www.autotrader.ca/a/mercedes-benz/m-class/mississauga/ontario/5_60243837_20210426200333771/?showcpo=ShowCpo&ncse=no&ursrc=boost&orup=8_15_69896&pc=L1G%200C5&sprx=100,https://tdrpmimages.azureedge.net/photos/import/202311/2200/3023/6bab77f5-1a10-402f-917c-50f148caeb0d.jpg-180x135
autotrader,Mazda,Mazda3,2010,4980,"253,680 KM",NORTH YORK,2023-11-30,https://www.autotrader.ca/a/mazda/mazda3/north%20york/ontario/5_60470993_20170519165500647/?showcpo=ShowCpo&ncse=no&orup=9_15_69896&pc=L1G%200C5&sprx=100,https://tdrpmimages.azureedge.net/photos/import/202311/2200/3023/6bab77f5-1a10-402f-917c-50f148caeb0d.jpg-180x135
autotrader,Mitsubishi,Lancer,2013,4990,"277,185 KM",NEWMARKET,2023-11-30,https://www.autotrader.ca/a/mitsubishi/lancer/newmarket/ontario/5_60572919_20160510115917447/?showcpo=ShowCpo&ncse=no&ursrc=boost_hl&orup=10_15_69896&pc=L1G%200C5&sprx=100,https://tdrpmimages.azureedge.net/photos/import/202311/2200/3023/6bab77f5-1a10-402f-917c-50f148caeb0d.jpg-180x135
autotrader,Mazda,Mazda3,2010,4990,"250,000 KM",TORONTO,2023-11-30,https://www.autotrader.ca/a/mazda/mazda3/toronto/ontario/5_60509676_on20080123125632757/?showcpo=ShowCpo&ncse=no&ursrc=boost&orup=11_15_69896&pc=L1G%200C5&sprx=100,https://tdrpmimages.azureedge.net/photos/import/202311/2200/3023/6bab77f5-1a10-402f-917c-50f148caeb0d.jpg-180x135
autotrader,Mazda,Mazda3,2011,4990,"290,000 KM",TORONTO,2023-11-30,https://www.autotrader.ca/a/mazda/mazda3/toronto/ontario/5_60439129_on20080123125632757/?showcpo=ShowCpo&ncse=no&ursrc=boost&orup=12_15_69896&pc=L1G%200C5&sprx=100,https://tdrpmimages.azureedge.net/photos/import/202311/2200/3023/6bab77f5-1a10-402f-917c-50f148caeb0d.jpg-180x135
autotrader,Chrysler,200,2012,4990,"263,595 KM",NORTH YORK,2023-11-30,https://www.autotrader.ca/a/chrysler/200/north%20york/ontario/5_60187194_20190502164350235/?showcpo=ShowCpo&ncse=no&ursrc=boost_hl&orup=13_15_69896&pc=L1G%200C5&sprx=100,https://tdrpmimages.azureedge.net/photos/import/202311/2200/3023/6bab77f5-1a10-402f-917c-50f148caeb0d.jpg-180x135
autotrader,MINI,Countryman,2020,33900,"60,214 KM",WINDSOR,2023-11-30,https://www.autotrader.ca/a/mini/countryman/windsor/ontario/5_59399099_on20081124114125969/?showcpo=ShowCpo&ncse=no&ursrc=ppl&pc=L1G%200C5&sprx=100,https://tdrpmimages.azureedge.net/photos/import/202311/2200/3023/6bab77f5-1a10-402f-917c-50f148caeb0d.jpg-180x135
autotrader,Mazda,Mazda3,2010,4990,"267,637 KM",NORTH YORK,2023-11-30,https://www.autotrader.ca/a/mazda/mazda3/north%20york/ontario/5_60172253_20190502164350235/?showcpo=ShowCpo&ncse=no&ursrc=boost_hl&orup=14_15_69896&pc=L1G%200C5&sprx=100,https://tdrpmimages.azureedge.net/photos/import/202311/2200/3023/6bab77f5-1a10-402f-917c-50f148caeb0d.jpg-180x135
autotrader,Mazda,Mazda5,2012,4990,"299,479 KM",NORTH YORK,2023-11-30,https://www.autotrader.ca/a/mazda/mazda5/north%20york/ontario/5_60172250_20190502164350235/?showcpo=ShowCpo&ncse=no&ursrc=boost_hl&orup=15_15_69896&pc=L1G%200C5&sprx=100,https://tdrpmimages.azureedge.net/photos/import/202311/2200/3023/6bab77f5-1a10-402f-917c-50f148caeb0d.jpg-180x135
