source,make,model,year,price,mileage,location,listing_date,link_to_buyer,link_to_image
kijijiauto,Honda,Civic,2019,23890,46767,"Etobicoke, ON",2023-12-15,https://www.kijijiautos.ca/vip/30867643,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b8/b8a8aa1b-a011-4a3b-9310-1da6d1e95ac0?rule=move-300-jpg
kijijiauto,Ford,Escape,2021,28499,69044,"Cambridge, ON",2023-12-15,https://www.kijijiautos.ca/vip/30730047,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b8/b8a8aa1b-a011-4a3b-9310-1da6d1e95ac0?rule=move-300-jpg
kijijiauto,Honda,Civic,2012,6499,202000,"Cambridge, ON",2023-12-15,https://www.kijijiautos.ca/vip/30416408,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b8/b8a8aa1b-a011-4a3b-9310-1da6d1e95ac0?rule=move-300-jpg
kijijiauto,Honda,Civic,2010,7900,154000,"Woodbridge, ON",2023-12-15,https://www.kijijiautos.ca/vip/30410300,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b8/b8a8aa1b-a011-4a3b-9310-1da6d1e95ac0?rule=move-300-jpg
kijijiauto,Hyundai,Santa Fe,2014,12999,89950,"Burlington, ON",2023-12-15,https://www.kijijiautos.ca/vip/30410729,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b8/b8a8aa1b-a011-4a3b-9310-1da6d1e95ac0?rule=move-300-jpg
kijijiauto,Ford,Focus,2018,17395,57117,"Stratford, ON",2023-12-15,https://www.kijijiautos.ca/vip/30411072,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b8/b8a8aa1b-a011-4a3b-9310-1da6d1e95ac0?rule=move-300-jpg
kijijiauto,Honda,Civic,2022,34995,21460,"Barrie, ON",2023-12-15,https://www.kijijiautos.ca/vip/29209684,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b8/b8a8aa1b-a011-4a3b-9310-1da6d1e95ac0?rule=move-300-jpg
kijijiauto,Mercedes-Benz,M,2011,22000,136500,"-, ON",2023-12-15,https://www.kijijiautos.ca/vip/30407875,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b8/b8a8aa1b-a011-4a3b-9310-1da6d1e95ac0?rule=move-300-jpg
kijijiauto,Nissan,,2007,42900,105000,"Thornhill, ON",2023-12-15,https://www.kijijiautos.ca/vip/30404831,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b8/b8a8aa1b-a011-4a3b-9310-1da6d1e95ac0?rule=move-300-jpg
kijijiauto,Hyundai,Tucson,2005,3000,248200,"-, ON",2023-12-15,https://www.kijijiautos.ca/vip/30415816,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b8/b8a8aa1b-a011-4a3b-9310-1da6d1e95ac0?rule=move-300-jpg
kijijiauto,Honda,Civic,2019,23890,46767,"Etobicoke, ON",2023-12-15,https://www.kijijiautos.ca/vip/30867643,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b8/b8a8aa1b-a011-4a3b-9310-1da6d1e95ac0?rule=move-300-jpg
kijijiauto,Jeep,Renegade,2022,35958,10476,"Mississauga, ON",2023-12-15,https://www.kijijiautos.ca/vip/29954922,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b8/b8a8aa1b-a011-4a3b-9310-1da6d1e95ac0?rule=move-300-jpg
kijijiauto,Toyota,Camry,2018,25880,30149,"Scarborough, ON",2023-12-15,https://www.kijijiautos.ca/vip/30367370,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b8/b8a8aa1b-a011-4a3b-9310-1da6d1e95ac0?rule=move-300-jpg
kijijiauto,RAM,,2018,46999,107108,"New Hamburg, ON",2023-12-15,https://www.kijijiautos.ca/vip/30348890,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b8/b8a8aa1b-a011-4a3b-9310-1da6d1e95ac0?rule=move-300-jpg
kijijiauto,BMW,X5,2017,33900,147500,"Richmond Hill, ON",2023-12-15,https://www.kijijiautos.ca/vip/30408558,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b8/b8a8aa1b-a011-4a3b-9310-1da6d1e95ac0?rule=move-300-jpg
kijijiauto,BMW,X3,2013,12999,144600,"North York,, ON",2023-12-15,https://www.kijijiautos.ca/vip/30289666,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b8/b8a8aa1b-a011-4a3b-9310-1da6d1e95ac0?rule=move-300-jpg
kijijiauto,BMW,X5,2017,38950,90000,"Toronto, ON",2023-12-15,https://www.kijijiautos.ca/vip/29979482,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b8/b8a8aa1b-a011-4a3b-9310-1da6d1e95ac0?rule=move-300-jpg
kijijiauto,Toyota,Corolla,2010,9990,147244,"Toronto, ON",2023-12-15,https://www.kijijiautos.ca/vip/30340220,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b8/b8a8aa1b-a011-4a3b-9310-1da6d1e95ac0?rule=move-300-jpg
kijijiauto,BMW,X1,2018,27888,65823,"North York, ON",2023-12-15,https://www.kijijiautos.ca/vip/30056317,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b8/b8a8aa1b-a011-4a3b-9310-1da6d1e95ac0?rule=move-300-jpg
kijijiauto,Acura,MDX,2019,36990,54000,"Toronto, ON",2023-12-15,https://www.kijijiautos.ca/vip/30322705,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b8/b8a8aa1b-a011-4a3b-9310-1da6d1e95ac0?rule=move-300-jpg
kijijiauto,RAM,,2021,52888,110000,"Toronto, ON",2023-12-15,https://www.kijijiautos.ca/vip/30895905,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b8/b8a8aa1b-a011-4a3b-9310-1da6d1e95ac0?rule=move-300-jpg
kijijiauto,Chevrolet,Equinox,2010,6990,191161,"Toronto, ON",2023-12-15,https://www.kijijiautos.ca/vip/30125977,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b8/b8a8aa1b-a011-4a3b-9310-1da6d1e95ac0?rule=move-300-jpg
kijijiauto,Lexus,UX,2022,37995,96030,"Bolton, ON",2023-12-15,https://www.kijijiautos.ca/vip/30030526,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b8/b8a8aa1b-a011-4a3b-9310-1da6d1e95ac0?rule=move-300-jpg
kijijiauto,BMW,X5,2016,34895,112000,"North York, ON",2023-12-15,https://www.kijijiautos.ca/vip/29785113,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b8/b8a8aa1b-a011-4a3b-9310-1da6d1e95ac0?rule=move-300-jpg
kijijiauto,Hyundai,Santa Fe,2019,22995,56556,"Toronto, ON",2023-12-15,https://www.kijijiautos.ca/vip/28024330,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b8/b8a8aa1b-a011-4a3b-9310-1da6d1e95ac0?rule=move-300-jpg
kijijiauto,Honda,Civic,2012,13490,101749,"Toronto, ON",2023-12-15,https://www.kijijiautos.ca/vip/30340227,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b8/b8a8aa1b-a011-4a3b-9310-1da6d1e95ac0?rule=move-300-jpg
kijijiauto,Ford,,2020,29900,156000,"Toronto, ON",2023-12-15,https://www.kijijiautos.ca/vip/29796706,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b8/b8a8aa1b-a011-4a3b-9310-1da6d1e95ac0?rule=move-300-jpg
kijijiauto,Volkswagen,Tiguan,2019,19888,124523,"North York, ON",2023-12-15,https://www.kijijiautos.ca/vip/30338073,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b8/b8a8aa1b-a011-4a3b-9310-1da6d1e95ac0?rule=move-300-jpg
kijijiauto,Tesla,Model 3,2022,54500,45200,"-, ON",2023-12-15,https://www.kijijiautos.ca/vip/30412020,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b8/b8a8aa1b-a011-4a3b-9310-1da6d1e95ac0?rule=move-300-jpg
kijijiauto,Toyota,,2022,32990,30771,"Richmond Hill, ON",2023-12-15,https://www.kijijiautos.ca/vip/30230781,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b8/b8a8aa1b-a011-4a3b-9310-1da6d1e95ac0?rule=move-300-jpg
kijijiauto,Jaguar,F-Pace,2020,40658,54506,"Guelph, ON",2023-12-15,https://www.kijijiautos.ca/vip/29490337,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b8/b8a8aa1b-a011-4a3b-9310-1da6d1e95ac0?rule=move-300-jpg
kijijiauto,Toyota,,2021,32995,70050,"Toronto, ON",2023-12-15,https://www.kijijiautos.ca/vip/30101257,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b8/b8a8aa1b-a011-4a3b-9310-1da6d1e95ac0?rule=move-300-jpg
kijijiauto,GMC,Terrain,2015,16900,86000,"Toronto, ON",2023-12-15,https://www.kijijiautos.ca/vip/30413852,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b8/b8a8aa1b-a011-4a3b-9310-1da6d1e95ac0?rule=move-300-jpg
